"Collins_HG1" "Collins_HG2" "Collins_HG3" "Galbraith_Cuckoo" "Riordan_PJ1" "Riordan_PJ2" "Riordan_PJ3" "Riordan_PJ4" "Riordan_PJ5" "Rowling_HP1" "Rowling_HP2" "Rowling_HP3" "Rowling_HP4" "Rowling_HP5" "Rowling_HP6" "Rowling_HP7" "Rowling_Leopard"
"do" 0.263558229896418 0.279764367476407 0.269516018044193 0.145666423889294 0.218465480166537 0.209216850438224 0.279254963790385 0.251082936539353 0.205652870356017 0.209285812165984 0.16548463356974 0.177726176654461 0.186797930076991 0.21361275380568 0.2436571559923 0.222696346403429 0.155682407887909
"now" 0.229644487078864 0.219674133617038 0.184455998164997 0.126783739311052 0.202452303609828 0.197907831495618 0.164346222709174 0.190008708732484 0.20151914431871 0.206794314402103 0.184622312281887 0.202732874877199 0.277672598763095 0.252962471611989 0.249978450133609 0.231545207849923 0.0518941359626362
"down" 0.194761780180809 0.207853104005359 0.203570609373805 0.186129319414097 0.203596101935307 0.21769861464518 0.223136741401887 0.205842767793524 0.202552575828037 0.224234798749268 0.190251041314871 0.253639367687774 0.239808153477218 0.218109864412115 0.170674941815361 0.181401659653125 0.259470679813181
"are" 0.344951212658547 0.348720373544536 0.379425032494839 0.0937390412991287 0.192158118680514 0.163980774667798 0.223136741401887 0.21489080154269 0.199452281300057 0.19682832334658 0.119329055499268 0.148253996606234 0.160545248012117 0.210239920850853 0.192512139758067 0.192708538168089 0.155682407887909
"would" 0.15794114512175 0.167464586165455 0.173942962000153 0.209058293544819 0.22990346342133 0.240316652530393 0.207102963576601 0.23864189013425 0.257324445822353 0.134540879249561 0.167736125182934 0.160757345717603 0.206992300896125 0.205368051027215 0.262046375312473 0.221221536162347 0.363258951738454
"d" 0.146313576155732 0.000985085800973265 0.117554858934169 0.295379137331067 0.0606213112504003 0.463669776646876 0.0828411854306405 0.433174615741317 0.441275254482509 0.347563938061366 0.246538331644715 0.257211753148165 0.160040388741638 0.157398871225238 0.144815102146367 0.130274904628938 0
"by" 0.222861738515353 0.261047737257915 0.257091520758468 0.232661649267622 0.155556572265178 0.182357930449533 0.134950963362818 0.13798251467478 0.148814137343048 0.186862332291057 0.202634245187437 0.173260694828972 0.178215322478859 0.192251478425112 0.221819958049593 0.214830691784324 0.155682407887909
"your" 0.149220468397237 0.120180467718738 0.164385656395749 0.173990450756656 0.293956169648168 0.195080576759966 0.177707704230245 0.289537079973308 0.272825918462254 0.184370834527176 0.168861870989531 0.186657140305439 0.179225041019816 0.205742810244418 0.221245294945838 0.179435245998348 0.0518941359626362
"their" 0.16375492960476 0.126090982524578 0.173942962000153 0.143643279113053 0.144118589010386 0.182357930449533 0.146976296731782 0.0916113417103046 0.140546685268434 0.270327507381062 0.228526398739165 0.233098151290524 0.27615802095166 0.222606975018551 0.17584690974916 0.232036811263617 0.311364815775817
"over" 0.15794114512175 0.148747955946963 0.181588806483676 0.169269779612096 0.165850757194491 0.183771557817359 0.148312444883889 0.165126615922277 0.161215315454968 0.213023058811805 0.220646178092987 0.200946682147004 0.238293575665783 0.219608901280927 0.215498663908284 0.199590985959807 0.207576543850545
"around" 0.15115839655824 0.158598813956696 0.137625200703418 0.11262172587737 0.172713547147367 0.155499010460843 0.197749926511852 0.167388624359569 0.166382473001602 0.176896341235534 0.194754024541259 0.219701705814057 0.247381042534394 0.206117569461621 0.171249604919116 0.17845203917096 0.155682407887909
"looked" 0.00581378448300921 0.00689560060681285 0.0057343833626424 0.10452914677241 0.236766253374205 0.192253322024314 0.331364741722562 0.244296911227479 0.238722678654472 0.210531561047924 0.175616345829112 0.217022416718764 0.246876183263915 0.202369977289591 0.191362813550556 0.212372674715853 0.155682407887909
"did" 0.114337761499181 0.110329609709006 0.104174631088004 0.268403873647865 0.12238642082628 0.115917444161719 0.128270222602282 0.121017451395094 0.128145507156513 0.125820637075978 0.105820105820106 0.155398767527016 0.164584122175943 0.225605048756174 0.258598396689941 0.256616981948323 0.259470679813181
"get" 0.214141061790839 0.218689047816065 0.172987231439713 0.133527555231852 0.209315093562703 0.245971162001696 0.223136741401887 0.194532725607067 0.220120911486591 0.242921031978374 0.156478667116965 0.179512369384657 0.15347721822542 0.146905613143555 0.12182857799615 0.136174145593267 0.103788271925272
"see" 0.194761780180809 0.249226707646236 0.168208578637511 0.141620134336813 0.158987967241616 0.144189991518236 0.153657037492317 0.173043645452798 0.158115020926988 0.224234798749268 0.169987616796127 0.203625971242297 0.175691026126467 0.162645500266079 0.182168203890469 0.136665749006961 0.155682407887909
"how" 0.205420385066326 0.210808361408279 0.186367459285878 0.149038331849694 0.150981378963261 0.195080576759966 0.251195852596136 0.176436658108735 0.143646979796414 0.171913345707772 0.156478667116965 0.15807805662231 0.144894610627288 0.162645500266079 0.162054995259029 0.17845203917096 0.259470679813181
"got" 0.0639516293131014 0.0758516066749414 0.0640339475495068 0.208383911952739 0.243629043327081 0.141362736782584 0.183052296838673 0.17756766232738 0.147780705833721 0.246658278624195 0.209388720027018 0.194695007591319 0.211031175059952 0.187379608601474 0.158607016636497 0.142073386557596 0.0518941359626362
"ve" 0.218016918112846 0.00197017160194653 0.198791956571603 0.174664832348736 0 0.171048911506927 0 0.190008708732484 0.218054048467938 0.224234798749268 0.231903636158955 0.22684647673484 0.174176448315032 0.187004849384271 0.181593540786714 0.175010815275101 0
"or" 0.210265205468833 0.222629391019958 0.2389326401101 0.171967305980416 0.210458891888182 0.219112242013005 0.129606370754389 0.162864607484986 0.174649925076216 0.135786628131501 0.100191376787121 0.10538537108154 0.116117632210021 0.149154168446773 0.198258770795621 0.17009478113816 0.259470679813181
"time" 0.187010067536796 0.213763618811198 0.127112164538573 0.155107766178414 0.187582925378597 0.179530675713882 0.160337778252853 0.221676826854564 0.199452281300057 0.148244116950905 0.164358887763143 0.152719478431723 0.137826580840591 0.152527001401599 0.180444214579203 0.137648955834349 0.311364815775817
"off" 0.194761780180809 0.189136473786867 0.169164309197951 0.152410239810094 0.160131765567095 0.166808029403449 0.146976296731782 0.134589502018843 0.151914431871028 0.250395525270016 0.194754024541259 0.19826739305171 0.160545248012117 0.158148389659644 0.140217797316323 0.133224525111102 0.207576543850545
"don" 0.257744445413409 0 0.242755562351862 0.155782147770494 0 0.185185185185185 0 0.213759797324044 0.205652870356017 0.215514556575685 0.171113362602724 0.171474502098776 0.159030670200682 0.180633942691821 0.198258770795621 0.162229126519055 0
"dumbledore" 0 0 0 0 0 0 0 0 0 0.199319821110461 0.169987616796127 0.135750647494865 0.278177458033573 0.228603122493798 0.594201649283108 0.290046014079522 0.0518941359626362
"re" 0.226737594837359 0 0.264737365241991 0.113296107469451 0 0.161153519932146 0 0.180960674983318 0.205652870356017 0.170667596825832 0.18349656647529 0.175939983924265 0.179225041019816 0.220358419715333 0.147113754561388 0.17009478113816 0
"more" 0.164723893685261 0.170419843568375 0.138580931263858 0.135550700008093 0.105229445944091 0.117331071529545 0.130942518906496 0.154947577954466 0.131245801684493 0.138278125895382 0.145221209050996 0.141109225685451 0.180739618831251 0.184756294081053 0.185041519409246 0.176977228929878 0.103788271925272
"right" 0.17635146265128 0.179285615777134 0.145271045186941 0.138248226376413 0.207027496911745 0.175289793610404 0.176371556078138 0.190008708732484 0.194285123753423 0.155718610242547 0.14747270066419 0.14557470751094 0.151962640413985 0.161895981831673 0.13562049248628 0.123884060250914 0
"us" 0.280999583345445 0.311287113107552 0.275250401406835 0.032370316419843 0.237910051699684 0.294034492507775 0.324684000962027 0.290668084191954 0.20461943884669 0.100905659437171 0.0664190025892154 0.091095829239975 0.0701754385964912 0.102309266296405 0.0770048559032267 0.124867267078303 0
